"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"4093","4/16/2014","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","4956_ANHU"
"4094","5/15/2004","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","caught by domestic animal","Non-selasphorus spp.","2691_ANHU"
"4095","11/30/2015","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Fall","found inside","Non-selasphorus spp.","5457_ANHU"
"4096","6/1/1993","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","483_ANHU"
"4097","3/23/1995","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","789_ANHU"
"4098","11/9/2015","Died","malibu","No","ANHU","Female-like ","adult-like",0,"Fall","unknown","Non-selasphorus spp.","6570_ANHU"
"4099","2/24/1994","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","573_ANHU"
"4100","11/22/2015","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","5452_ANHU"
"4101","11/25/2015","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","5453_ANHU"
"4102","4/6/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","422_ANHU"
"4103","3/22/1992","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",8,"Spring","unknown","Non-selasphorus spp.","224_ANHU"
"4104","11/8/2002","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Fall","found on the ground","Non-selasphorus spp.","2345_ANHU"
"4105","3/26/2012","Released","Lindsey","No","ANHU","Female-like ","adult-like",5,"Spring","found on the ground","Non-selasphorus spp.","4404_ANHU"
"4106","7/30/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","window hit","Non-selasphorus spp.","1487_ANHU"
"4107","9/11/2012","Died","Lindsey","No","ANHU","Male","adult-like",1,"Fall","unknown","Non-selasphorus spp.","4565_ANHU"
"4108","5/28/1991","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","109_ANHU"
"4109","2/18/2003","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","nest-related","Non-selasphorus spp.","2389_ANHU"
"4110","6/19/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","1443_ANHU"
"4111","8/2/2001","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found inside","Non-selasphorus spp.","2106_ANHU"
"4112","7/3/1997","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Summer","caught by domestic animal","Selasphorus spp.","1281_ALHU"
"4113","5/30/1995","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","851_ANHU"
"4114","3/27/2015","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","5233_ALHU"
"4115","10/18/1998","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","1510_ANHU"
"4116","3/7/2001","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1975_ANHU"
"4117","5/1/2003","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2470_ANHU"
"4118","3/14/1997","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","unknown","Non-selasphorus spp.","1176_ANHU"
"4119","7/8/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","2742_ANHU"
"4120","7/5/1999","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",3,"Summer","found on the ground","Non-selasphorus spp.","1687_ANHU"
"4121","4/4/2013","Released","malibu","No","ANHU","Female-like ","adult-like",1,"Spring","unknown","Non-selasphorus spp.","5927_ANHU"
"4122","5/30/2006","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3099_ANHU"
"4123","3/25/1999","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1565_ANHU"
"4124","3/23/2016","Released","malibu","No","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","6647_ANHU"
"4125","12/13/2014","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","5140_ANHU"
"4126","5/31/1996","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1060_ANHU"
"4127","5/4/2015","Died","Lindsey","Yes","BCHU","Male","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","5306_BCHU"
"4128","6/5/2014","Died","malibu","Yes","Selasphorus","unknown","Nestling",0,"Summer","found on the ground","Selasphorus spp.","6129_ALHU"
"4129","2/18/2011","Died","Lindsey","No","ANHU","Male","adult-like",4,"Winter","window hit","Non-selasphorus spp.","4100_ANHU"
"4130","3/17/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","2638_ANHU"
"4131","5/27/1999","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1641_ANHU"
"4132","4/8/2012","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found inside","Non-selasphorus spp.","4421_ANHU"
